,address,propery_type,rooms,floor,square_foot,price,sector,block,property,day,month,year
407,חיל האויר 1,1,5.0,16,111.85,1370000,2717,36,57,24,01,2008
416,התזמורת 56,1,5.0,3,111.63,2470000,5183,35,12,07,11,2021
417,התזמורת 56,1,5.0,3,111.63,1315000,5183,35,12,25,03,2018
425,בן אליעזר 32,1,5.0,5,116.87,2500000,3926,1047,15,04,11,2021
426,בן אליעזר 32,1,5.0,5,116.87,990000,3926,1047,15,06,05,2007
427,מבצע משה 50,1,5.0,2,118.35,2820000,5748,13,3,04,11,2021
428,מבצע משה 50,1,5.0,2,118.35,1700000,5748,13,3,12,03,2013
429,בלקינד שמשון 26,1,5.0,6,115.58,2700000,3938,171,14,04,11,2021
430,בלקינד שמשון 26,1,5.0,6,115.58,2050000,3938,171,14,07,09,2016
434,נירים 3,1,5.0,1,120.0,1350000,6286,392,2,03,11,2021
435,נירים 3,1,5.0,1,120.0,1600000,6286,392,2,23,12,2012
436,נירים 3,1,5.0,1,120.0,1512000,6286,392,2,30,07,2012
441,"ריב""ל 14",1,5.0,10,115.3,2660000,5114,36,130,02,11,2021
442,"ריב""ל 14",1,5.0,10,115.3,1580000,5114,36,130,09,05,2013
443,"ריב""ל 14",1,5.0,10,115.3,1170000,5114,36,130,01,07,2007
444,ההתיישבות 47,1,5.0,1,130.2,2650000,6286,329,4,31,10,2021
445,ההתיישבות 47,1,5.0,1,130.2,1660000,6286,329,4,27,08,2012
453,רוטשילד 107,1,5.0,1,103.0,2345000,3926,1305,4,28,10,2021
454,רוטשילד 107,1,5.0,1,103.0,1500000,3926,1305,4,31,07,2009
466,יערי מאיר 27,2,5.0,0,126.29,3350000,6288,97,4,25,10,2021
467,יערי מאיר 27,2,5.0,0,126.29,2950000,6288,97,4,28,02,2019
468,יערי מאיר 27,2,5.0,0,126.29,1700000,6288,97,4,08,09,2008
471,הרב מינץ 10,1,5.0,3,93.67,3125000,7281,153,7,25,10,2021
472,הרב מינץ 10,1,5.0,3,93.67,1780000,7281,153,7,13,02,2018
474,אלחריזי 24,4,6.0,0,142.85,3880000,5115,14,2,24,10,2021
475,אלחריזי 24,4,6.0,0,142.85,1314000,5115,14,2,09,11,2003
476,בן עובדיה יוסף 41,2,5.0,1,298.35,5000000,7375,111,2,24,10,2021
477,בן עובדיה יוסף 41,2,5.0,1,298.35,3394000,7375,111,2,10,01,2012
484,האיריס 12,1,6.0,5,119.75,2650000,5036,114,38,21,10,2021
485,האיריס 12,1,6.0,5,119.75,1029000,5036,114,38,24,10,2007
486,יהודה הלוי 61,4,5.0,0,106.6,2380000,3929,972,2,21,10,2021
487,יהודה הלוי 61,4,5.0,0,106.6,1649000,3929,972,2,24,11,2015
488,יהודה הלוי 61,4,5.0,0,106.6,1200000,3929,972,2,01,04,2008
489,האבות 19,1,5.0,2,103.6,2330000,3930,590,4,21,10,2021
490,האבות 19,1,5.0,2,103.6,1250000,3930,590,4,03,05,2010
498,הקוקיה 42,1,5.0,6,120.9,1229500,6287,220,58,19,10,2021
499,הקוקיה 42,1,5.0,6,120.9,965000,6287,220,58,20,08,2001
506,מעגל השלום 3,1,5.0,9,106.0,2800000,5096,7,92,18,10,2021
507,מעגל השלום 3,1,5.0,9,106.0,2220000,5096,7,92,10,12,2015
508,מעגל השלום 3,1,5.0,9,106.0,1786000,5096,7,92,26,01,1999
509,מאירוביץ 55,1,6.0,0,154.74,3265000,3925,614,5,18,10,2021
510,מאירוביץ 55,1,6.0,0,154.74,1148000,3925,614,5,26,07,1999
535,תדהר דוד 7,1,5.0,1,88.0,1480000,7281,23,3,07,10,2021
536,תדהר דוד 7,1,5.0,1,88.0,450000,7281,23,3,20,08,2002
538,הגדוד העברי 61,1,5.0,1,94.76,1860000,3929,1055,2,06,10,2021
539,הגדוד העברי 61,1,5.0,1,94.76,1200000,3929,1055,2,23,06,2010
540,הגדוד העברי 61,1,5.0,1,94.76,726000,3929,1055,2,21,03,2007
543,דן 9,1,5.0,0,91.76,3300000,5387,38,2,04,10,2021
544,דן 9,1,5.0,0,91.76,1700000,5387,38,2,07,11,2010
545,דן 9,1,5.0,0,91.76,1033000,5387,38,2,21,06,2001
564,גיבשטיין יהושע 1,1,5.0,5,109.36,2060000,6288,100,20,12,09,2021
565,גיבשטיין יהושע 1,1,5.0,5,109.36,812000,6288,100,20,31,07,2003
571,אחיעזר 6,1,5.0,3,148.5,2300000,3929,1013,4,05,09,2021
572,אחיעזר 6,1,5.0,3,148.5,1016000,3929,1013,4,26,04,2006
577,עצמונה 22,1,7.0,0,178.0,3600000,5386,62,4,02,09,2021
578,עצמונה 22,1,7.0,0,178.0,1480000,5386,62,4,27,10,2005
579,הכורמים 11,1,5.0,1,104.0,2180000,5039,24,19,02,09,2021
580,הכורמים 11,1,5.0,1,104.0,1600000,5039,24,19,25,08,2010
581,השומר 55,2,6.0,1,167.28,5102000,6287,94,2,02,09,2021
582,השומר 55,2,6.0,1,167.28,3085000,6287,94,2,14,06,2020
597,מעגל השלום 1,1,5.0,8,111.0,3055000,5096,7,32,29,08,2021
598,מעגל השלום 1,1,5.0,8,111.0,1415000,5096,7,32,08,07,2007
599,גלילי ישראל 19,1,5.0,6,125.05,3550000,3946,412,22,29,08,2021
600,גלילי ישראל 19,1,5.0,6,125.05,2520000,3946,412,22,28,06,2015
608,הרשקוביץ 3,1,5.0,2,134.2,2995000,7373,54,6,26,08,2021
609,הרשקוביץ 3,1,5.0,2,134.2,2570000,7373,54,6,18,11,2015
610,הרשקוביץ 3,1,5.0,2,134.2,1611000,7373,54,6,10,01,2010
618,יעקב 35,6,6.0,0,161.9,1850000,4242,452,1,23,08,2021
619,יעקב 35,6,6.0,0,161.9,1510000,4242,452,1,24,02,2019
620,יעקב 35,6,6.0,0,161.9,1410000,4242,452,1,24,02,2019
633,הירשפלד 34,1,5.0,0,114.0,2495000,3926,954,14,18,08,2021
634,הירשפלד 34,1,5.0,0,114.0,2400000,3926,954,14,08,02,2017
635,הירשפלד 34,1,5.0,0,114.0,1743000,3926,954,14,02,12,2015
636,הירשפלד 34,1,5.0,0,114.0,1720000,3926,954,14,17,11,2015
637,הירשפלד 34,1,5.0,0,114.0,1650000,3926,954,14,28,06,2015
638,הירשפלד 34,1,5.0,0,114.0,1526000,3926,954,14,20,05,2015
639,האלוף דוד 17,1,5.0,1,126.2,2500000,3946,411,69,17,08,2021
640,האלוף דוד 17,1,5.0,1,126.2,2220000,3946,411,69,02,02,2015
650,יהודה הלוי 35,1,5.0,4,97.64,2070000,3929,518,7,15,08,2021
651,יהודה הלוי 35,1,5.0,4,97.64,1175000,3929,518,7,25,08,2009
652,יהודה הלוי 35,1,5.0,4,97.64,808000,3929,518,7,17,08,2003
658,רחבעם זאבי 38,1,5.0,7,121.0,3540000,2704,55,539,12,08,2021
659,רחבעם זאבי 38,1,5.0,7,121.0,1884314,2704,55,539,19,02,2013
660,רחבעם זאבי 38,1,5.0,7,121.0,2215000,2704,55,539,05,07,2010
662,הגאון מוילנה 6,1,5.0,1,114.05,2200000,3929,847,2,11,08,2021
663,הגאון מוילנה 6,1,5.0,1,114.05,767000,3929,847,2,03,09,1998
664,שגיא יהודה 8,2,8.0,0,176.97,3130000,3930,515,2,11,08,2021
665,שגיא יהודה 8,2,8.0,0,176.97,1394000,3930,515,2,22,07,2007
672,גלילי ישראל 19,1,6.0,6,144.0,3500000,3946,412,86,10,08,2021
673,גלילי ישראל 19,1,6.0,6,144.0,2735000,3946,412,86,29,12,2016
674,גלילי ישראל 19,1,6.0,6,144.0,2860000,3946,412,86,28,05,2016
690,הבוצרים 4,4,5.0,1,146.0,3200000,5039,48,0,08,08,2021
691,הבוצרים 4,4,5.0,1,146.0,2800000,5039,48,0,05,02,2019
692,הבוצרים 4,4,5.0,1,146.0,2400000,5039,48,0,23,07,2015
693,הבוצרים 4,4,5.0,1,146.0,1137000,5039,48,0,27,02,2003
694,הבוצרים 4,4,5.0,1,146.0,1118000,5039,48,0,10,09,2002
704,בשארי סעדיה ויוסף 4,4,5.0,3,120.0,1550000,7374,99,1,06,08,2021
705,בשארי סעדיה ויוסף 4,4,5.0,3,120.0,2200000,7374,99,1,17,06,2010
706,בשארי סעדיה ויוסף 4,4,5.0,3,120.0,1895000,7374,99,1,11,01,2010
708,עליזה בגין 8,1,5.0,1,120.0,2920000,3927,360,47,05,08,2021
709,עליזה בגין 8,1,5.0,1,120.0,2080000,3927,360,47,28,01,2016
712, ,1,6.0,9,165.87,3800000,6286,326,35,04,08,2021
713, ,1,6.0,9,165.87,3105000,6286,326,35,25,02,2016
720,הנחשול 27,4,5.0,0,154.84,3170000,6823,180,8,02,08,2021
721,הנחשול 27,4,5.0,0,154.84,2040000,6823,180,8,16,07,2014
722,הנחשול 27,4,5.0,0,154.84,1199000,6823,180,8,25,08,2006
723,הנחשול 27,4,5.0,0,154.84,1185000,6823,180,8,23,01,2002
724,הקוקיה 27,1,5.0,6,114.36,2600000,6287,312,23,02,08,2021
725,הקוקיה 27,1,5.0,6,114.36,2250000,6287,312,23,04,11,2016
732,התות 15,2,6.0,0,145.81,3550000,4243,397,2,01,08,2021
733,התות 15,2,6.0,0,145.81,2150000,4243,397,2,05,04,2012
734,התות 15,2,6.0,0,145.81,1212000,4243,397,2,03,05,2002
742,רפידים 26,2,5.0,0,167.0,3800000,5386,91,2,29,07,2021
743,רפידים 26,2,5.0,0,167.0,1245000,5386,91,2,11,05,2000
748,חיל התותחנים 7,1,5.0,20,160.76,5300000,2704,55,321,28,07,2021
749,חיל התותחנים 7,1,5.0,20,160.76,4980000,2704,55,321,02,11,2012
750,חיל התותחנים 7,1,5.0,20,160.76,3725000,2704,55,321,27,06,2010
757,שדה נחום 17,1,5.0,1,99.0,2410000,5388,47,4,27,07,2021
758,שדה נחום 17,1,5.0,1,99.0,1585000,5388,47,4,11,12,2014
762,הרב נריה 4,1,5.0,5,119.56,2725000,5116,24,60,26,07,2021
763,הרב נריה 4,1,5.0,5,119.56,2150000,5116,24,60,20,01,2016
766,תרשיש 1,1,5.0,8,88.1,1100000,4746,6,24,25,07,2021
767,תרשיש 1,1,5.0,8,88.1,1875000,4746,6,24,19,04,2016
768,תרשיש 1,1,5.0,8,88.1,753000,4746,6,24,09,04,1998
769,"הרשב""א 4",1,5.0,8,112.93,2535000,5115,32,81,25,07,2021
770,"הרשב""א 4",1,5.0,8,112.93,1800000,5115,32,81,21,12,2009
771,הקוקיה 42,1,5.0,5,120.9,2390000,6287,220,20,25,07,2021
772,הקוקיה 42,1,5.0,5,120.9,1500000,6287,220,20,12,12,2012
